sku_id,price
71127929,228
1687311,202
83705874,176
29826799,149
63697247,68
39350658,199
83832877,263
92063048,248
2062977,275
2391417,384
36706423,221
6285087,110
80849760,458
2313472,249
473640,260
48684552,155
429221,408
11378818,188
8601682,266
63339872,245
68089394,109
17450656,711
447961,345
419559,471
85735805,347
25227537,327
90240095,0
80173444,0
5379502,91
83334212,344
39435922,110
2104513,148
67596453,147
1964205,194
792857,100
6864481,0
13302421,329
79952519,37
70861959,40
1999060,198
5237827,110
69027752,150
2042467,102
13787577,144
92512808,190
56770445,208
6792935,241
80597026,286
73691074,66
28484557,97
78385455,222
385114,854
82628439,88
44218831,326
30006545,1360
21802685,98
14794556,494
12280270,255
1676227,89
23967709,269
73355606,162
1281632,84
1483622,157
73301853,224
21727684,565
49359729,230
669773,100
86682130,158
43968070,325
84859112,133
1440330,212
65572221,168
73271042,138
88628087,119
437218,238
91790715,77
1257774,66
550949,467
1915016,118
5636492,86
83396441,139
90816045,91
91986559,116
25695445,233
814797,87
52947219,46
72884453,223
79940671,753
69573080,313
31350937,240
5073266,143
1535411,143
1776800,292
896878,132
70529663,337
4091640,116
4739440,44
5982973,77
56656688,299
83130876,439
